compound,mass
C00829,128.0626
C00831,278.13
C00836,301.2981
C00847,183.0532
C00853,1329.5722
C00857,665.1010000000001
C00864,219.1107
C00877,835.1414
C00881,227.0906
C00882,687.1489
C00884,240.1222
C00894,821.1258
C00899,286.2297
C00909,318.2195
C00921,314.1127
C00931,226.0954
C00937,74.0368
C00940,145.0375
C00942,345.0474
C00951,272.1776
C00954,175.0633
C00956,161.0688
C00957,119.9881
C00978,218.1055
C00984,180.0634
C00986,74.0844
C00988,155.9824
C01005,185.0089
C01007,378.1539
C01013,90.0317
C01019,164.0685
C01024,854.2858
C01026,103.0633
C01035,145.0851
C01036,200.0321
C01040,178.0477
C01042,175.0481
C01044,161.0324
C01045,175.0481
C01051,836.2752
C01054,426.3862
C01060,432.8672
C01061,200.0321
C01079,568.305
C01081,345.0786
C01083,342.1162
C01089,104.0473
C01094,260.0297
C01097,260.0297
C01103,368.0257
C01107,228.0399
C01110,131.0582
C01119,151.9966
C01120,381.2644
C01127,162.0164
C01132,221.0899
C01134,358.0964
C01137,355.1552
C01143,308.0062
C01144,853.1519999999999
C01146,104.01100000000001
C01149,130.1232
C01152,169.0851
C01157,131.0582
C01159,265.9593
C01161,168.0423
C01164,384.3392
C01165,131.0582
C01172,260.0297
C01176,330.2195
C01177,260.0297
C01179,180.0423
C01180,148.0194
C01181,146.1181
C01185,336.0484
C01189,386.3549
C01204,659.8614
C01205,103.0633
C01213,867.1313
C01220,339.996
C01222,587.0666
C01227,288.2089
C01228,602.957
C01231,339.996
C01233,215.0559
C01235,342.1162
C01236,258.0141
C01243,419.9624
C01245,419.9624
C01252,207.0532
C01259,205.1552
C01260,836.0483
C01261,868.0381
C01262,240.1222
C01272,499.9287
C01284,579.895
C01301,434.3396
C01312,352.225
C01327,35.9767
C01344,412.0185
C01345,491.9848
C01346,388.0073
C01352,787.1728
C01382,253.8089
C01419,178.0412
C01516,285.1365
C01528,81.9322
C01561,400.3341
C01571,172.1463
C01595,280.2402
C01598,232.1212
C01613,666.2219
C01672,102.1157
C01673,416.329
C01674,424.1693
C01678,77.0299
C01693,193.0375
C01697,182.079
C01720,180.0634
C01724,426.3862
C01753,414.3862
C01755,58.983000000000004
C01762,284.0757
C01780,360.1937
C01789,400.3705
C01794,1157.3922
C01801,134.0579
C01802,384.3392
C01829,776.6867
C01832,949.2823
C01879,129.0426
C01888,73.0528
C01921,465.309
C01943,426.3862
C01944,893.2197
C01953,316.2402
C01962,152.9918
C01996,146.1181
C02059,450.3498
C02090,723.3044
C02094,536.4382
C02110,284.214
C02140,346.2144
C02165,336.2301
C02166,625.3033
C02170,118.0266
C02191,562.258
C02198,352.225
C02218,87.03200000000001
C02266,148.0372
C02291,222.0674
C02305,211.0358
C02336,180.0634
C02350,158.04399999999998
C02356,103.0633
C02362,131.0219
C02373,100.0888
C02380,152.0157
C02465,650.79
C02514,186.0164
C02515,306.9705
C02528,392.2927
C02535,109.9635
C02593,977.3136
C02630,148.0372
C02642,132.0535
C02670,176.0321
C02679,200.1776
C02700,236.0797
C02714,130.1106
C02763,164.0473
C02835,126.0429
C02918,137.0715
