pathway,compounds
cge00310,C00021 C00322 C16741 C05545 C05544 C05546 C04253 C04076 C01149 C03366 C01144 C00052 C00450 C00487 C02188 C15973 C15972 C00019 C00332 C01181 C00877 C00956 C04570 C00408 C06157 C00527 C00449 C00042 C04487 C00047 C01211 C03793 C01259
cge00330,C00148 C00021 C00022 C00062 C00327 C01165 C02946 C05665 C05947 C05946 C00533 C05147 C00884 C03564 C00170 C03440 C00555 C00763 C00179 C02305 C02714 C00037 C00012 C00581 C00315 C00019 C00135 C00134 C00334 C00077 C00042 C01137 C00086 C00750 C04281 C01157 C04282 C03912 C05938 C01035 C03287 C00300 C05933 C05936 C00048
cge00340,C05828 C00021 C00101 C00019 C00135 C02835 C05827 C01044 C05130 C00388 C05127 C00386 C00439 C01152 C00785 C03680 C00099 C01262 C00049 C00664
cge00350,C00122 C00021 C00022 C01829 C00164 C01060 C01061 C05587 C01161 C01382 C05350 C00788 C02218 C05581 C05422 C05583 C05582 C05585 C05584 C00272 C00822 C00218 C00642 C00268 C00628 C01693 C04185 C00072 C00019 C00355 C05578 C05579 C02465 C05589 C05576 C05577 C01179 C17938 C00082 C03758 C05590 C01036 C04043 C02515 C05594 C00483 C05588 C02514 C05580 C00547 C00544 C03765
cge00360,C00037 C00582 C07086 C05852 C00079 C05598 C00268 C00082 C05332 C00272 C00166 C02763 C00601
cge00380,C00328 C00021 C00322 C05636 C00108 C06212 C00632 C04253 C04409 C05647 C05645 C05642 C05643 C05640 C00780 C01144 C05648 C06213 C00643 C04570 C00078 C00331 C00019 C00332 C00268 C03824 C00877 C05635 C05634 C05639 C05638 C03161 C00637 C05651 C03227 C01598 C00527 C00272 C05653 C00041 C00978 C00398 C01252 C05637 C02700 C03024 C00954
cge00400,C01179 C00082 C00272 C00166 C00268 C00079
cge00410,C00106 C05340 C00100 C00099 C00135 C00062 C01013 C05341 C01137 C00222 C00750 C00083 C05665 C00429 C00386 C01152 C00986 C05668 C01262 C00170 C00047 C00315 C00894 C00049 C02642
cge00430,C00012 C01678 C00245 C00519 C05844 C05122 C03193 C01794 C00506 C00606 C00097
cge00450,C06481 C00022 C00019 C05689 C00109 C05703 C05172 C01180 C05686 C16638 C00021 C06482 C04144 C01647 C02535 C00073 C05335 C05336 C18904 C05697 C18902 C04489 C05698 C18872 C01528 C05684
